Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Nyctalus leisleri","genus not specified","","Hungary","cross-sectional","6","0","pooled","faecal, rectal, or anal","PCR","Kemenesi et al. 2014","https://www.doi.org/10.1089/vbz.2014.1637"
"Pipistrellus pipistrellus","genus not specified","","France","cross-sectional","9","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Pipistrellus pipistrellus","genus not specified","","United Kingdom","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","August et al. 2012","https://www.doi.org/10.1089/vbz.2011.0829"
"Myotis evotis","genus not specified","","United States of America","cross-sectional","6","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Rhinolophus landeri","genus not specified","","Kenya","cross-sectional","23","4","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Myotis ciliolabrum","genus not specified","","United States of America","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Dominguez et al. 2007","https://www.doi.org/10.3201/eid1309.070491"
"Hipposideros ruber","alphacoronavirus","","Ghana","cross-sectional","11","1","single","faecal, rectal, or anal","PCR","Pfefferle et al. 2009","https://www.doi.org/10.3201/eid1509.090224"
"Mops condylurus","genus not specified","","Rwanda","cross-sectional","78","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Carollia sowelli","alphacoronavirus","","Mexico","cross-sectional","14","4","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Hipposideros abae","genus not specified","","Ghana","cross-sectional","13","0","single","faecal, rectal, or anal","PCR","Pfefferle et al. 2009","https://www.doi.org/10.3201/eid1509.090224"
"Barbastella barbastellus","genus not specified","","Bulgaria","cross-sectional","12","0","pooled","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Hipposideros vittatus","genus not specified","","Kenya","cross-sectional","25","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Rousettus amplexicaudatus","genus not specified","","Philippines","cross-sectional","1","0","single","faecal, rectal, or anal","Western Blot","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Rhinolophus thomasi","genus not specified","","China","cross-sectional","12","0","pooled","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Rhinolophus capensis","genus not specified","","South Africa","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Myotis siligorensis","genus not specified","","Thailand","cross-sectional","1","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Hipposideros lekaguli","genus not specified","","Thailand","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Miniopterus inflatus","genus not specified","","Gabon","cross-sectional","4","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Macroglossus sobrinus","genus not specified","","Thailand","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
"Rhinolophus euryale","alphacoronavirus","","Bulgaria","cross-sectional","243","25","pooled","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Myotis thysanodes","genus not specified","","United States of America","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Hipposideros dyacorum","genus not specified","","Malaysian Borneo","longitudinal","23","0","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"Chaerephon pumilus","genus not specified","","Madagascar","cross-sectional","45","0","single","pooled swabs/samples","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Eptesicus serotinus","genus not specified","","Slovenia","cross-sectional","4","0","pooled","faecal, rectal, or anal","PCR","Rihtaric et al. 2010","https://www.doi.org/10.1007/s00705-010-0612-5"
"Rousettus aegyptiacus","genus not specified","","Gabon","cross-sectional","8","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Rhinolophus clivosus","betacoronavirus","","Rwanda","cross-sectional","19","1","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Rhinolophus ferrumequinum","genus not specified","","China","cross-sectional","41","4","pooled","faecal, rectal, or anal","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Coleura afra","genus not specified","","Gabon","cross-sectional","50","0","single","faecal, rectal, or anal","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Neoromicia zuluensis","betacoronavirus","","South Africa","cross-sectional","1","1","single","faecal, rectal, or anal","PCR","Ithete et al. 2013","https://www.doi.org/10.3201/eid1910.130946"
"Epomophorus gambianus","genus not specified","","South Africa","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"","betacoronavirus","","Guinea","cross-sectional","13","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Myotis evotis","genus not specified","","United States of America","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Dominguez et al. 2007","https://www.doi.org/10.3201/eid1309.070491"
"Scotorepens greyii","genus not specified","","Australia","longitudinal","1","0","pooled","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Carollia perspicillata","alphacoronavirus","","Costa Rica","cross-sectional","49","1","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Myotis alcathoe","genus not specified","","France","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Myotis pequinius","betacoronavirus","Merbecovirus","China","cross-sectional","57","3","pooled","pooled tissue","PCR","Han et al. 2017","https://www.doi.org/10.1111/zph.12358"
"Pipistrellus nathusii","genus not specified","","France","cross-sectional","5","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Hipposideros larvatus","genus not specified","","Thailand","cross-sectional","1","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Hipposideros gigas","genus not specified","","Gabon","cross-sectional","4","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Myotis daubentonii","alphacoronavirus","","Finland","cross-sectional","27","4","pooled","faecal, rectal, or anal","PCR","Kivistö et al. 2020","https://www.doi.org/10.1089/vbz.2018.2367"
"Sturnira mordax","genus not specified","","Costa Rica","longitudinal","1","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Hipposideros armiger","genus not specified","","China","cross-sectional","11","0","single","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Nyctalus lasiopterus","genus not specified","","Spain","cross-sectional","137","0","pooled","oropharyngeal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Plecotus auritus","genus not specified","","Bulgaria","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Hipposideros ruber","alphacoronavirus","","Gabon","cross-sectional","13","2","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Taphozous longimanus","genus not specified","","Thailand","cross-sectional","2","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
