Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Hipposideros armiger","genus not specified","","China","cross-sectional","4","0","pooled","faecal, rectal, or anal","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Cynopterus sphinx","genus not specified","","Myanmar","cross-sectional","38","0","pooled","oropharyngeal","PCR","Valitutto et al. 2020","https://www.doi.org/10.1371/journal.pone.0230802"
"Eidolon helvum","betacoronavirus","","Kenya","cross-sectional","30","10","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Plecotus taivanus","genus not specified","","Taiwan","longitudinal","7","1","pooled","faecal, rectal, or anal","PCR","Chen et al. 2016","https://www.doi.org/10.1111/zph.12271"
"Tylonycteris robustula","alphacoronavirus","","China","cross-sectional","104","1","single","pooled swabs/samples","PCR","Lau et al. 2019","https://www.doi.org/10.3390/v11050423"
"Eidolon helvum","genus not specified","","Rwanda","cross-sectional","15","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Barbastella leucomelas","genus not specified","","China","cross-sectional","1","0","single","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Barbastella barbastellus","genus not specified","","Spain","cross-sectional","4","0","pooled","faecal, rectal, or anal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Neoromicia helios","genus not specified","","South Africa","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Scotophilus dinganii","genus not specified","","South Africa","cross-sectional","9","0","pooled","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Rhinolophus megaphyllus","alphacoronavirus","","Australia","longitudinal","58","1","pooled","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Pipistrellus savii","genus not specified","","Italy","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Lelli et al. 2013","https://www.doi.org/10.3390/v5112679"
"Uroderma bilobatum","genus not specified","","Costa Rica","cross-sectional","7","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Myotis ikonnikovi","genus not specified","","South Korea","cross-sectional","1","0","single","oropharyngeal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Pipistrellus pipistrellus","genus not specified","","Italy","cross-sectional","2","0","single","skin swab","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Chaerephon pumilus","alphacoronavirus","","Kenya","cross-sectional","3","2","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"Molossus rufus","genus not specified","","Brazil","cross-sectional","4","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Molossus rufus","genus not specified","","Costa Rica","longitudinal","5","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Pipistrellus nathusii","genus not specified","","Germany","longitudinal","2","0","pooled","faecal, rectal, or anal","PCR","Annan et al. 2013","https://www.doi.org/10.3201/eid1903.121503"
"Rousettus aegyptiacus","betacoronavirus","","Kenya","cross-sectional","10","2","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"Rhinolophus pusillus","genus not specified","","China","cross-sectional","14","0","single","pooled tissue","PCR","Hu et al. 2017","https://www.doi.org/10.1038/s41598-017-11384-w"
"Rhinolophus affinis","genus not specified","","China","cross-sectional","60","0","pooled","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Nyctalus noctula","genus not specified","","Denmark","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Myotis chinensis","genus not specified","","China","cross-sectional","10","0","pooled","pooled swabs/samples","PCR","Lau et al. 2019","https://www.doi.org/10.3390/v11050423"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","23","2","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Nyctophilus gouldi","alphacoronavirus","","Australia","cross-sectional","56","2","pooled","faecal, rectal, or anal","PCR","Prada et al. 2019","https://www.doi.org/10.3390/v11121157"
"Artibeus lituratus","genus not specified","","Brazil","longitudinal","6","0","pooled","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Molossus molossus","genus not specified","","Brazil","longitudinal","80","0","pooled","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Rhinolophus pusillus","alphacoronavirus","","China","longitudinal","1","0","pooled","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"Taphozous hildegardeae","genus not specified","","Kenya","cross-sectional","3","0","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"Rhinolophus hipposideros","genus not specified","","Bulgaria","cross-sectional","6","0","pooled","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Rhinolophus pusillus","betacoronavirus","Sarbecovirus","China","cross-sectional","120","30","single","intestine","PCR","Hu et al. 2018","https://www.doi.org/10.1038/s41426-018-0155-5"
"Rhinolophus hipposideros","genus not specified","","France","cross-sectional","2","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Glossophaga soricina","genus not specified","","Mexico","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Rhinolophus pusillus","alphacoronavirus","","China","longitudinal","41","3","pooled","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"","genus not specified","","India","cross-sectional","30","0","pooled","faecal, rectal, or anal","PCR","Yadav et al. 2020","https://www.doi.org/10.4103/ijmr.IJMR_795_20"
"Rousettus leschenaultii","betacoronavirus","","China","longitudinal","50","4","repeat","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1007/s12250-018-0017-2"
"Myotis capaccinii","alphacoronavirus","","Spain","cross-sectional","1","1","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Myotis nigricans","genus not specified","","Mexico","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Myonycteris angolensis","alphacoronavirus","","Guinea","cross-sectional","15","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Rhinolophus sinicus","alphacoronavirus","","China","cross-sectional","55","1","single","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"Rousettus aegyptiacus","alphacoronavirus","","Guinea","cross-sectional","7","1","single","oropharyngeal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Pipistrellus deserti","betacoronavirus","Merbecovirus","Egypt","cross-sectional","28","0","single","oropharyngeal","PCR","Ali et al. 2017","https://www.doi.org/10.2807/1560-7917.ES.2017.22.11.30487"
"Rhinolophus alcyone","genus not specified","","Ghana","longitudinal","4","0","pooled","faecal, rectal, or anal","PCR","Annan et al. 2013","https://www.doi.org/10.3201/eid1903.121503"
"Myotis pilosus","betacoronavirus","Sarbecovirus","China","cross-sectional","21","0","single","faecal, rectal, or anal","PCR","Li et al. 2005","https://www.doi.org/10.1126/science.1118391"
"Rousettus aegyptiacus","betacoronavirus","","Guinea","cross-sectional","29","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Carollia perspicillata","alphacoronavirus","","Brazil","cross-sectional","32","1","single","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"","genus not specified","","Kenya","cross-sectional","16","10","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Rhinolophus pearsonii","alphacoronavirus","","China","longitudinal","30","2","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","China","cross-sectional","238","12","pooled","faecal, rectal, or anal","PCR","Wang et al. 2019","https://www.doi.org/10.3390/v11040379"
"Hipposideros armiger","alphacoronavirus","","China","longitudinal","35","1","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Tylonycteris robustula","genus not specified","","China","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Eptesicus fuscus","genus not specified","","Mexico","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Miniopterus inflatus","genus not specified","","Gabon","cross-sectional","6","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Cynopterus brachyotis","betacoronavirus","","Philippines","cross-sectional","28","17","single","faecal, rectal, or anal","Western Blot","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"","genus not specified","","Vietnam","cross-sectional","13","0","pooled","oropharyngeal","PCR","Nguyen quynh huong et al. 2020","https://www.doi.org/10.1371/journal.pone.0237129"
"Rhinopoma hardwickii","genus not specified","","Malaysian Borneo","longitudinal","51","0","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"Miniopterus pusillus","genus not specified","","China","cross-sectional","56","0","pooled","pooled swabs/samples","PCR","Lau et al. 2019","https://www.doi.org/10.3390/v11050423"
"Glauconycteris variegata","genus not specified","","South Africa","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Carollia castanea","alphacoronavirus","","Costa Rica","cross-sectional","16","1","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Sturnira lilium","genus not specified","","Brazil","cross-sectional","1","0","single","liver","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Eidolon helvum","genus not specified","","Ghana","cross-sectional","212","0","single","faecal, rectal, or anal","PCR","Pfefferle et al. 2009","https://www.doi.org/10.3201/eid1509.090224"
"Rhinolophus sinicus","genus not specified","","China","cross-sectional","64","0","pooled","lung or respiratory","PCR","Lau et al. 2007","https://www.doi.org/10.1016/j.virol.2007.06.009"
"Hipposideros halophyllus","genus not specified","","Thailand","cross-sectional","4","0","pooled","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Rousettus aegyptiacus","genus not specified","","Gabon","cross-sectional","50","0","single","faecal, rectal, or anal","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Parastrellus hesperus","genus not specified","","United States of America","cross-sectional","8","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Rhinolophus pusillus","genus not specified","","China","cross-sectional","10","0","single","urinary","PCR","Wang et al. 2017","https://www.doi.org/10.1038/emi.2016.140"
"Chaerephon pumilus","alphacoronavirus","","Rwanda","cross-sectional","3","1","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Plecotus auritus","genus not specified","","China","longitudinal","4","0","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Pteronotus parnellii","genus not specified","","Costa Rica","cross-sectional","14","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Nyctophilus geoffroyi","alphacoronavirus","","Australia","cross-sectional","51","2","pooled","faecal, rectal, or anal","PCR","Prada et al. 2019","https://www.doi.org/10.3390/v11121157"
"","alphacoronavirus","","Brazil","cross-sectional","1","1","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Pipistrellus abramus","betacoronavirus","Merbecovirus","China","cross-sectional","75","15","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"","alphacoronavirus","","Kenya","cross-sectional","156","5","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Hipposideros pratti","genus not specified","","China","cross-sectional","9","0","pooled","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Miniopterus schreibersii","genus not specified","","Thailand","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Rousettus aegyptiacus","alphacoronavirus","","Guinea","cross-sectional","41","1","single","oropharyngeal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Tadarida teniotis","betacoronavirus","Sarbecovirus","Italy","cross-sectional","1","1","single","faecal, rectal, or anal","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Myotis myotis","genus not specified","","France","cross-sectional","3","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Hipposideros larvatus","genus not specified","","China","cross-sectional","2","0","pooled","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Miniopterus schreibersii","alphacoronavirus","","South Korea","cross-sectional","4","2","single","faecal, rectal, or anal","PCR","Kim et al. 2016","https://www.doi.org/10.1111/tbed.12515"
"Hipposideros ruber","genus not specified","","Gabon","cross-sectional","25","0","single","faecal, rectal, or anal","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Myotis daubentonii","alphacoronavirus","","Hungary","cross-sectional","81","1","pooled","faecal, rectal, or anal","PCR","Kemenesi et al. 2014","https://www.doi.org/10.1089/vbz.2014.1637"
"Rhinolophus pusillus","alphacoronavirus","","China","cross-sectional","28","0","single","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"Rhinolophus luctus","genus not specified","","China","cross-sectional","4","0","pooled","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Myotis keaysi","genus not specified","","Mexico","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Leptonycteris yerbabuenae","genus not specified","","Mexico","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Corynorhinus townsendii","genus not specified","","United States of America","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Myotis occultus","genus not specified","","United States of America","cross-sectional","6","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Molossus molossus","alphacoronavirus","","Brazil","cross-sectional","11","1","single","liver","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Hipposideros caffer","genus not specified","","South Africa","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Coelops frithii","genus not specified","","China","cross-sectional","6","0","pooled","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Rousettus aegyptiacus","betacoronavirus","","Egypt","cross-sectional","257","2","pooled","lung or respiratory","PCR","Shehata et al. 2016","https://www.doi.org/10.3201/eid2201.151397"
"Rhinolophus hipposideros","genus not specified","","France","cross-sectional","2","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Miniopterus natalensis","alphacoronavirus","","Kenya","cross-sectional","7","1","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"Otomops madagascariensis","genus not specified","","Madagascar","cross-sectional","6","0","single","pooled swabs/samples","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Trachops cirrhosus","genus not specified","","Costa Rica","longitudinal","3","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Molossus sinaloae","genus not specified","","Costa Rica","cross-sectional","65","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","Italy","cross-sectional","12","3","single","faecal, rectal, or anal","PCR","Balboni et al. 2012","https://www.doi.org/10.1100/2012/989514"
"Taphozous melanopogon","alphacoronavirus","","Thailand","cross-sectional","40","1","single","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
"Rhinolophus ferrumequinum","genus not specified","","China","cross-sectional","16","0","single","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Cynopterus brachyotis","betacoronavirus","","Philippines","cross-sectional","1","1","single","intestine","PCR","Watanabe et al. 2010","https://www.doi.org/10.3201/eid1608.100208"
"Myotis myotis","alphacoronavirus","","Germany","longitudinal","40","31","repeat","faecal, rectal, or anal","PCR","Drexler et al. 2011","https://www.doi.org/10.3201/eid1703.100526"
"","betacoronavirus","","Vietnam","cross-sectional","45","3","pooled","faecal, rectal, or anal","PCR","Nguyen quynh huong et al. 2020","https://www.doi.org/10.1371/journal.pone.0237129"
"Myotis fimbriatus","alphacoronavirus","","China","cross-sectional","34","6","pooled","pooled tissue","PCR","Han et al. 2017","https://www.doi.org/10.1111/zph.12358"
"Rhinolophus ferrumequinum","genus not specified","","Spain","cross-sectional","3","0","pooled","faecal, rectal, or anal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Myotis dasycneme","alphacoronavirus","Lineage 1","Germany","cross-sectional","67","17","pooled","faecal, rectal, or anal","PCR","Gloza-rausch et al. 2008","https://www.doi.org/10.3201/eid1404.071439"
"Miniopterus gleni","genus not specified","","Madagascar","cross-sectional","14","0","single","intestine","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Rhinolophus sinicus","betacoronavirus","","China","cross-sectional","118","21","pooled","pooled swabs/samples","PCR","Woo et al. 2006","https://www.doi.org/10.1016/j.virol.2006.02.041"
"Pipistrellus nathusii","genus not specified","","Netherlands","cross-sectional","8","0","pooled","faecal, rectal, or anal","PCR","Reusken et al. 2010","https://www.doi.org/10.1089/vbz.2009.0173"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","13","2","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Rhinolophus ferrumequinum","alphacoronavirus","","Hungary","cross-sectional","12","1","pooled","faecal, rectal, or anal","PCR","Kemenesi et al. 2014","https://www.doi.org/10.1089/vbz.2014.1637"
"Hipposideros ruber","genus not specified","","Gabon","cross-sectional","16","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Rhinolophus ferrumequinum","genus not specified","","China","cross-sectional","15","0","single","faecal, rectal, or anal","PCR","He et al. 2014","https://www.doi.org/10.1128/JVI.00631-14"
"Lasiurus cinereus","genus not specified","","United States of America","cross-sectional","20","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Murina leucogaster","alphacoronavirus","","China","cross-sectional","40","1","single","intestine","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Molossus molossus","genus not specified","","Brazil","cross-sectional","13","0","single","intestine","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Myotis lucifugus","alphacoronavirus","","Canada","cross-sectional","5","1","single","pooled tissue","PCR","Misra et al. 2009","https://www.doi.org/10.1099/vir.0.010694-0"
"Rhinolophus pusillus","genus not specified","","China","longitudinal","1","0","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Myotis brandtii","alphacoronavirus","","Finland","cross-sectional","6","2","pooled","faecal, rectal, or anal","PCR","Kivistö et al. 2020","https://www.doi.org/10.1089/vbz.2018.2367"
"Chaerephon plicatus","genus not specified","","China","longitudinal","6","0","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"Eptesicus nilssonii","betacoronavirus","","Finland","cross-sectional","22","2","pooled","faecal, rectal, or anal","PCR","Kivistö et al. 2020","https://www.doi.org/10.1089/vbz.2018.2367"
"Miniopterus inflatus","genus not specified","","Gabon","cross-sectional","102","1","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Rhinolophus pusillus","betacoronavirus","","China","cross-sectional","44","1","single","intestine","PCR","Hu et al. 2017","https://www.doi.org/10.1038/s41598-017-11384-w"
"Ptenochirus jagori","betacoronavirus","","Philippines","cross-sectional","10","5","single","intestine","PCR","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Carollia perspicillata","alphacoronavirus","","Brazil","cross-sectional","32","2","single","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Hipposideros armiger","genus not specified","","Thailand","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Pipistrellus nathusii","alphacoronavirus","","Germany","longitudinal","22","2","pooled","pooled swabs/samples","PCR","Fischer et al. 2016","https://www.doi.org/10.1016/j.meegid.2015.11.010"
"Ptenochirus jagori","betacoronavirus","","Philippines","cross-sectional","8","1","single","intestine","PCR","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Nycticeinops schlieffeni","genus not specified","","South Africa","cross-sectional","7","0","single","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Coleura afra","genus not specified","","Ghana","cross-sectional","108","0","pooled","faecal, rectal, or anal","PCR","Annan et al. 2013","https://www.doi.org/10.3201/eid1903.121503"
"Rousettus aegyptiacus","genus not specified","","Saudi Arabia","cross-sectional","1","0","single","urinary","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Myotis myotis","alphacoronavirus","","Spain","cross-sectional","1","1","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Hipposideros ruber","alphacoronavirus","","Ghana","cross-sectional","40","4","single","faecal, rectal, or anal","PCR","Pfefferle et al. 2009","https://www.doi.org/10.3201/eid1509.090224"
"Rhinolophus pusillus","genus not specified","","Taiwan","cross-sectional","41","0","single","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Kerivoula intermedia","genus not specified","","Malaysian Borneo","longitudinal","22","0","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"Pipistrellus pygmaeus","genus not specified","","Denmark","cross-sectional","3","0","single","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Miniopterus schreibersii","betacoronavirus","Sarbecovirus","China","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Li et al. 2005","https://www.doi.org/10.1126/science.1118391"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","24","4","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Cynomops planirostris","alphacoronavirus","","Brazil","cross-sectional","5","3","single","faecal, rectal, or anal","PCR","Asano et al. 2016","https://www.doi.org/10.1186/s12985-016-0569-4"
"Chaerephon pumilus","alphacoronavirus","","France","cross-sectional","60","7","single","faecal, rectal, or anal","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Vespertilio murinus","genus not specified","","Hungary","cross-sectional","3","0","pooled","faecal, rectal, or anal","PCR","Kemenesi et al. 2014","https://www.doi.org/10.1089/vbz.2014.1637"
"Rhinolophus sinicus","betacoronavirus","Sarbecovirus","China","cross-sectional","272","3","pooled","pooled swabs/samples","PCR","Lau et al. 2019","https://www.doi.org/10.3390/v11050423"
"Lasionycteris noctivagans","genus not specified","","United States of America","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Myotis yumanensis","genus not specified","","United States of America","cross-sectional","3","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Epomophorus gambianus","betacoronavirus","","Guinea","cross-sectional","48","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Rhinolophus shameli","alphacoronavirus","","China","longitudinal","55","10","pooled","faecal, rectal, or anal","PCR","Wang et al. 2019","https://www.doi.org/10.3390/v11040379"
"Hipposideros armiger","genus not specified","","China","cross-sectional","18","0","pooled","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Rhinolophus sinicus","betacoronavirus","Sarbecovirus","China","longitudinal","83","5","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Myotis evotis","genus not specified","","United States of America","cross-sectional","3","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Myotis dasycneme","alphacoronavirus","","Netherlands","cross-sectional","105","20","pooled","faecal, rectal, or anal","PCR","Reusken et al. 2010","https://www.doi.org/10.1089/vbz.2009.0173"
"Rhinolophus sinicus","coinfection","Sarbecovirus","China","longitudinal","1337","17","pooled","faecal, rectal, or anal","PCR","Lau et al. 2010","https://www.doi.org/10.1128/JVI.02219-09"
"Myotis pilosus","genus not specified","","China","cross-sectional","38","0","single","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Phylloderma stenops","genus not specified","","Mexico","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Rhinolophus sinicus","betacoronavirus","Merbecovirus","China","cross-sectional","16","0","pooled","faecal, rectal, or anal","Lateral Flow Immunoassay","Woo et al. 2018","https://www.doi.org/10.1038/s41426-017-0016-7"
"Pteropus giganteus","genus not specified","","Myanmar","cross-sectional","29","0","pooled","pooled swabs/samples","PCR","Valitutto et al. 2020","https://www.doi.org/10.1371/journal.pone.0230802"
"Rhinolophus sinicus","alphacoronavirus","","China","cross-sectional","64","6","pooled","faecal, rectal, or anal","PCR","Lau et al. 2007","https://www.doi.org/10.1016/j.virol.2007.06.009"
